weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
2013-08-11,27.5268634089402,2.87509567704466,12.5638789215258,5.99780701100826,14.2613945206006,4.57486511695953,10.5590014989887,7.9954672817673,5.55866409816912,5.6350515005844,8.3607239233596,12.7315123528242,15.3107335303511,9.25635921103614,37.5285862343652,6.93083334111032,15.1745860946498,11.6247423308236,8.42371704322951,5.74415255178298,4.73149101116828,5.08653936641557,5.70976484966065,4.99684496720632,4.1907566683633,16.2989215425083,8.58887311347893,12.2113915483157,6.20768608685051,5.05410781673023,7.09016075304576,2.66186627107007,2.15120511289154,5.04751463163467,29.0311401202565,4.00426836098943,9.41534846169608,11.1147313458579
2013-08-18,10.3793557270297,4.28411178917639,8.50194666641099,0.890814964792558,1.47396772816068,9.80224339593025,5.85059975619827,4.3398466567908,11.3568235046097,9.2402052964483,4.85471326112747,12.7669532011662,5.9676011289869,1.48206903253283,11.7191465241568,0.779052627228555,8.37537115386554,4.87729227457728,2.73273289416518,9.0039060903447,10.5891628371818,8.96447141858793,15.4058750133429,3.23194134803045,13.7252600318619,9.44094065115565,9.75462655169623,4.6035656425215,2.3002606438739,6.8833219813449,0.684734757457461,6.81552247064454,5.14407802905355,8.80605457794099,10.2444353117829,2.28130165434309,8.3687835761479,7.58996384697301
2013-08-25,0.779894133763654,4.53486072425804,5.60994054110987,2.84720446807998,2.77341907613334,5.4274458303338,4.51617964676448,0.667525932724987,9.04221215503556,0.408108146062919,7.14274486101099,5.3163162058308,3.17133881790297,3.06497418454715,3.14933411138398,4.57523377168746,1.87265963000911,0.56990230849811,3.92502566001245,0.110974465895976,7.09042848646641,7.69191483443692,0.719063594139048,2.53699904680252,0.517245955978121,1.71456685165564,7.45994021041053,2.50554039932433,1.48991858533451,3.98036989314215,4.44844852175031,0.072857482092721,0.040846653992221,2.1288167323385,0.125990290017355,0.550402407135282,8.52663162776402,9.37641964639936
2013-09-01,6.3137898120497,2.16786776027746,25.8247524968215,10.967445066997,15.9078216396627,9.92687176167965,11.9305704065732,1.88835105592651,8.19333383909294,10.4356171579233,17.4658956059388,10.314550836881,10.3131034808499,13.0294186201479,11.4110301200833,14.4014780918757,7.31849094160966,1.66451641406332,20.8995282799005,3.59429696947336,14.0325690316302,14.7278103345916,9.0838330630213,7.65986432489895,6.07231541999749,9.53604627365158,9.49155529226576,5.45117224469071,6.2045378365687,8.23682865755898,13.9643774032593,4.48657933303288,3.64189035055183,8.07581788869131,4.85970724551451,4.63499246324812,9.63174112354006,10.1210031168801
2013-09-08,12.1755367879357,1.40597268732058,24.1980918645859,7.85624635219574,15.3960798524675,18.6551603987103,9.50214964683567,12.5172623544931,9.59713079588754,10.671179395169,10.7413581652301,8.20293597096489,12.1578868695668,10.214018872806,13.7418136766979,6.1964240301223,10.4882839534964,13.1997280767986,16.5519620691027,7.01564453329359,8.53484807695661,7.86696924482073,16.9083862251469,15.301365090268,15.6280426519258,11.6623836471921,8.23546705075673,15.472361553283,9.70882914321763,9.05552585124969,7.57096263340541,11.8417771203177,13.4171900068011,6.68240650494893,8.75850529897781,10.564454632146,15.377708707537,13.8202770778111
2013-09-15,1.56643184593746,6.72363093075535,3.30418852610247,0.011093824037484,0.46980548898379,1.62253700338659,2.07969721938883,0.275710146342005,1.49946639665536,0.055319253887449,1.09447183619652,0.086315027305058,0.166709010941642,0.047448813915253,3.9113186363663,0.236470267886207,0.537707128695079,0.450605305603572,0.220820820757321,0.965958220618112,2.19488641193935,1.04217471962883,0.273998042302472,0.789600693044208,0.670413265057973,1.22044292801902,0.697026978646006,0.386933522565024,0.424789528761591,1.06796974965504,0.230900543076651,0.489795616694859,0.203495519501822,0.127244393030802,1.81890333266485,1.15481574726956,1.82368268285479,2.63785203439849
2013-09-22,1.44676715561322,11.2392298312533,3.93090591180537,6.17779971872057,0.663496315479279,3.70947152589049,6.91671696092401,0.429909432040794,3.20332197227648,0.61181585171393,2.47196622405733,6.42635267440762,0.008646724266665,2.60089405732495,1.33453644173486,2.44965075595038,0.901337417640856,0.373346616540636,1.66919706974711,0.2111879874553,2.83142133269991,1.85750978581962,0.601619829024587,2.98110308533623,0.488600812639509,0.67254798752921,7.57614369498832,0.635365503174918,2.92648060034428,3.13611332007817,1.91736316680908,0.193979399544852,0.042679510655857,1.16684334263915,1.88496712275914,1.56590668830488,2.13838614736285,2.04972296740328
2013-09-29,6.80391395251666,1.40291082734863,8.25111117001091,7.87318658190114,10.0547094259943,1.07930986867065,0.877014353871346,4.61796384304762,4.46868326940707,2.12540957650968,4.25143289885351,10.8445403192724,9.21043078899384,7.16901767253876,6.98634296229908,5.82284852152779,6.16787665896118,4.77879819699696,8.2940943901028,3.38993077086551,4.55888201083456,4.27426547663552,3.59526461149965,3.3933457718009,3.26151457918542,8.44733404829388,3.88250514737197,3.7016224861145,5.63330748251506,1.56435501234872,5.20617769445692,3.16054043599537,3.516272770507,1.55067555677323,4.74196867006166,2.01809185956206,5.8363157425608,9.00009056500026
2013-10-06,5.46828476259751,6.18008000450948,7.23630030559642,2.10279582653727,3.88587995973371,4.18172600687969,5.00340289516108,5.48166243944849,7.23601919242314,13.9282620932375,6.1535673396928,6.8467359021306,10.2476843416691,2.75877769184964,1.79662317889077,1.78866554512864,5.23968202993274,7.18101633574282,5.55840715127332,8.07726045591491,1.80728851152318,3.76359742489599,12.1458203095411,4.60982238252958,11.7783469097955,5.31064923320498,6.66618177507605,6.94153001336824,3.31309541261622,5.62033343059676,1.90487836088453,6.94804430007935,4.31916128453754,8.51702246069908,12.9145655064356,2.79166700957077,4.51467939785549,4.96582728198596
2013-10-13,0.230187330927168,4.57019083272843,2.05478791466781,0.43412910508258,0.233999880296843,1.12798230420975,0.771979157413755,0.079614695693765,3.75157052363668,0.093155146975602,3.26930529012212,0.390250747047719,0.533080264500209,0.335306038813932,0,0.767865832362856,0.177748969623021,0.059921645266669,1.64647424966097,0.613393059798649,0.799760392733983,1.75750567515691,0.014575175408806,1.54028546739192,0.032262207780566,0.240285376707713,1.18165399091584,0.170058721587771,0.553111576076065,1.75730639440673,0.880882220608847,0.101681462356022,0.058832101878666,0.218701570516541,0.296466503824506,1.47089256479272,0.267320556300027,0.338740382875715
2013-10-20,27.8374101117785,3.22547537993108,25.625914009554,19.2416291385889,31.9525025188923,19.3764683270738,10.9628456011415,16.5612442738243,17.8106991546495,17.3259733627949,20.4841446490692,9.39624305406497,36.1608256037746,33.2567187717983,14.3025271700961,18.6814000038874,40.7621807849833,18.0913454641189,30.7821161065783,19.866483291345,20.3202429073198,16.9771474656605,16.453893543088,23.9813992934568,14.6926921640124,39.2696717963332,9.9040244272777,36.3990764561154,20.5530578068324,18.0229996306556,19.8879383972713,13.2062864516463,12.933055033996,15.5052357202484,21.5703181312198,25.002508642418,20.5456554549081,22.1147985713822
2013-10-27,0.346866616180965,0.179713882269367,6.44399065630777,0.309299230575562,4.51311085798911,0.095622501912571,0.162547094481332,0.267400143401963,1.49613347947598,0.55117482904877,3.0842674151063,0.051404571958951,1.95077044197491,4.12999089168651,1.115299520748,0.258571067381473,0.586098894476891,0.107008511253766,5.26761083517756,0.817496691431318,0,0.725477156184969,0.298042306942599,0.068805348305475,0.572839713096619,1.1753895736876,0.153487484795707,0.029412046074867,0.157162996275084,0.053732664670263,0.094245289053236,1.19254262106759,1.23887223289126,0.48914555140904,0.031405249521846,0.130149426737002,0.020733980195863,0.04051228931972
2013-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20280117860862,0,0,0,0,0,0,0,0,0,0,0.107520466759091,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-10,0.018827370234898,0,0.006361458450556,0.295736593859536,0.251057437488011,0,0,0.00952288721289,0,0,0.032689309545926,0,0.290416005679539,0.791466610772269,0,0.158466823044277,0.052627086639404,0,0.570909985474178,0,0,0,0.013406214969499,0.026121551082248,0,0.121576698053451,0,0.005630602439245,0.078948174204145,0,0.107708896909441,0,0,0,0,0,0,0
2013-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,1.37586379618872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-08,0,1.13158269888825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
