,weeks,Araria,Aurangabad,Banka,Begusarai,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Kaimur (bhabua),Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran (chhapra),Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Arwal,Jehanabad
34,1979-09-02,306.2627,308.4061,307.01495,307.3081,307.08023,308.07666,308.56982,307.15674,307.91733,306.9723,306.39972,308.42496,306.91397,307.104,305.77002,307.09033,306.5874,306.653,306.9292,307.3335,307.72705,307.37183,305.4851,307.5796,306.41513,306.42725,308.48096,306.85498,307.19592,307.91046,307.4585,306.79443,306.7723,307.78043,306.48584,307.62646,308.13135,308.0962
35,1979-09-09,305.0586,307.61206,306.18213,307.01318,306.44156,307.93857,308.37134,306.22424,307.1395,307.14594,305.9242,307.88403,305.721,306.7173,304.37793,306.91748,305.9624,305.28467,306.41943,306.90637,307.5713,307.0288,306.06158,307.4318,306.2708,305.52002,307.8444,306.27393,306.79016,307.73917,307.44678,306.38477,305.9686,307.67563,304.88394,307.17163,307.8877,307.78613
36,1979-09-16,304.73438,308.68588,306.2973,306.3916,306.31113,308.7809,309.22266,305.40527,308.3318,306.54443,306.22437,308.9326,305.40057,305.8943,304.41016,306.86557,305.437,304.64355,306.15173,305.8203,308.14258,307.7373,304.5488,307.7041,305.1242,305.10776,308.8205,305.58105,306.2163,307.80215,307.61426,305.06543,304.72525,307.67676,304.5498,306.91553,308.76465,308.51074
37,1979-09-23,306.13623,308.37558,307.31934,307.4807,307.441,308.525,308.63623,307.0581,308.57626,306.76715,307.21454,308.23535,306.83218,307.11182,305.9956,307.5717,306.46362,306.27945,307.27734,307.16425,308.26587,307.8837,305.63074,308.10376,306.24472,306.54214,308.20648,306.8413,307.43414,308.0975,307.97095,306.39478,306.40707,307.67734,305.96378,307.6942,308.61743,308.58032
38,1979-09-30,306.6399,308.9751,307.11597,307.1371,307.04907,308.76807,308.84326,306.44702,308.83392,306.66968,307.01428,308.73682,306.51056,306.81567,306.82495,307.61826,306.1936,306.20776,307.18286,306.57452,308.19482,307.96973,305.9829,307.87808,306.16284,306.587,308.69345,306.3352,306.86353,307.70737,307.70996,306.11548,306.62915,307.61548,306.12924,307.26843,308.92627,308.6919
39,1979-10-07,304.4286,305.6896,305.37274,305.68433,305.50195,305.28848,305.6443,305.62207,305.7543,305.3083,305.32916,306.2003,305.14395,305.5121,303.91943,305.80283,305.1455,305.07538,305.4187,305.42603,305.61646,305.69272,304.61084,305.49927,305.0189,304.79834,305.6747,305.4186,305.47638,305.40665,305.68872,305.02148,305.33267,305.27148,304.5814,305.61743,305.2378,305.40552
40,1979-10-14,303.51965,306.7125,305.57843,305.20337,305.48087,305.5043,305.7444,304.95386,306.84927,304.7273,305.28918,307.12198,304.78036,305.22876,303.19165,305.3622,304.4442,304.069,305.31274,304.9519,305.59692,305.87393,304.0487,305.18906,304.36215,304.42676,306.3448,304.74048,305.11353,304.95425,305.44165,304.52368,304.44946,304.83163,303.4628,304.92847,305.77563,305.7483
41,1979-10-21,303.41223,305.81802,304.72754,305.2046,304.7394,305.06958,305.0647,304.51123,306.18164,304.5999,304.73828,306.2659,304.0673,304.86096,303.29272,305.20688,304.0088,303.6408,304.86963,304.8921,305.41357,305.4894,303.1322,305.26376,303.77963,303.78696,305.35162,304.35986,305.2246,305.0672,305.33252,304.06885,303.7648,304.9208,303.44327,305.35645,305.37817,305.51807
42,1979-10-28,303.8681,305.77133,304.23895,305.03174,304.28653,304.66098,304.81738,304.76624,306.1535,304.68115,304.45996,306.19662,304.09637,304.63733,303.68994,305.00732,304.1621,303.97012,304.43567,304.7735,304.84082,305.22623,303.3999,304.76285,303.98203,304.02945,305.11896,304.54703,305.26715,304.9178,304.9546,304.04785,303.88818,305.10645,303.91284,304.92065,305.18994,305.2036
43,1979-11-04,303.39087,305.10904,303.41992,304.7998,303.68848,304.53418,304.3994,304.61078,305.19955,304.42456,303.35907,304.94498,303.5478,304.26758,303.25464,304.40723,303.82996,303.74527,303.72998,304.79688,304.6289,304.49512,303.63242,304.6351,304.08295,303.5497,304.40118,304.20923,305.01953,304.8002,304.6748,304.19238,303.89786,304.72363,303.68497,304.7876,304.81543,304.8506
